question_id,passage_id
20,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
21,"[""B4098573"", ""Q168366"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692""]"
22,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
23,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
24,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
25,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
26,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
27,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
28,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
29,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
30,"[""B4081240"", ""Q37442"", ""B4110318"", ""Q1645474"", ""B4097771"", ""B4086028"", ""B4098838"", ""B4106823"", ""B4081125"", ""B4112547""]"
31,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
32,"[""A24574"", ""B4110017"", ""B4086159"", ""B4088943"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819""]"
33,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
34,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
35,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
36,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
37,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
38,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
39,"[""B4103510"", ""B4098983"", ""B4104158"", ""B4104933"", ""Q2224648"", ""B4114044"", ""B4097170"", ""B4107049"", ""B4117048"", ""B4109217""]"
40,"[""Q831691"", ""Q1433006"", ""Q958148"", ""B4115435"", ""Q163446"", ""Q5871275"", ""B4087599"", ""B4109067"", ""B4081599"", ""B4094025""]"
41,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
42,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
43,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
44,"[""B4089907"", ""B4083385"", ""B4098474"", ""B4081538"", ""B4106764"", ""B4110701"", ""B4109593"", ""B4093556"", ""B4116430"", ""B4106350""]"
45,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
46,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
47,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
48,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
49,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
50,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
51,"[""B4098573"", ""Q168366"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692""]"
52,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
53,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
54,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
55,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
56,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
57,"[""B4098573"", ""Q168366"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692""]"
58,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
59,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
60,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
61,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
62,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
63,"[""B4083113"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855""]"
64,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
65,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
66,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
67,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
68,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
69,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
70,"[""B4107667"", ""B4115943"", ""B4117236"", ""B4107442"", ""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""B4116178"", ""Q193204""]"
71,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
72,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
73,"[""A14718"", ""B4116449"", ""B4083626"", ""B4109743"", ""B4114025"", ""B4101845"", ""B4081426"", ""B4098590"", ""B4097919"", ""Q1948006""]"
74,"[""B4082822"", ""B4103838"", ""B4088018"", ""B4087224"", ""B4087641"", ""B4094174"", ""B4092173"", ""B4097972"", ""B4092316"", ""B4095185""]"
75,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
76,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
77,"[""B4096704"", ""B4099981"", ""B4086536"", ""B4086375"", ""B4111656"", ""B4117922"", ""B4119689"", ""B4102037"", ""B4088250"", ""B4111281""]"
78,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
79,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
80,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
81,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
82,"[""B4111604"", ""B4106789"", ""B4089089"", ""B4116652"", ""B4098421"", ""B4089854"", ""B4095751"", ""B4082264"", ""B4106252"", ""B4114847""]"
83,"[""B4081104"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855""]"
84,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
85,"[""B4098573"", ""Q168366"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692""]"
86,"[""B4112284"", ""B4092929"", ""B4109469"", ""B4116622"", ""Q1646736"", ""B4112910"", ""B4103752"", ""B4119736"", ""B4104673"", ""B4115786""]"
87,"[""B4119893"", ""Q334401"", ""B4088318"", ""Q2933051"", ""B4105470"", ""Q485954"", ""B4089468"", ""B4087945"", ""B4100929"", ""B4082254""]"
88,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
89,"[""B4098573"", ""Q168366"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692""]"
90,"[""A21568"", ""B4096779"", ""B4085878"", ""B4080579"", ""B4113449"", ""B4108767"", ""B4118431"", ""B4098254"", ""Q1622390"", ""B4105627""]"
91,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
92,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
93,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
94,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
95,"[""Q10273457"", ""B4083735"", ""Q472616"", ""B4111715"", ""B4114068"", ""B4082908"", ""Q101659"", ""B4091891"", ""B4098441"", ""B4083368""]"
96,"[""B4093358"", ""Q165044"", ""B4083008"", ""B4100516"", ""Q704354"", ""Q7166810"", ""B4084974"", ""B4091029"", ""B4081117"", ""B4092022""]"
97,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
98,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
99,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
100,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
101,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
102,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
103,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
104,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
105,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
106,"[""B4103215"", ""B4119562"", ""B4101272"", ""B4113456"", ""B4109394"", ""B4098067"", ""B4115094"", ""B4100526"", ""B4095986"", ""Q567688""]"
107,"[""B4117488"", ""A25519"", ""B4118706"", ""B4116252"", ""B4085035"", ""Q790099"", ""Q62408"", ""Q1226760"", ""B4081314"", ""B4092266""]"
108,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
109,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
110,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
111,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
112,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
113,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
114,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
115,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
116,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
117,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
118,"[""Q831691"", ""Q1433006"", ""Q958148"", ""B4115435"", ""Q163446"", ""Q5871275"", ""B4087599"", ""B4109067"", ""B4081599"", ""B4094025""]"
119,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
120,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
121,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
122,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
123,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
124,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
125,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
126,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
127,"[""B4083353"", ""B4095507"", ""B4097340"", ""B4095386"", ""B4092261"", ""B4104402"", ""B4094134"", ""A28738"", ""B4107395"", ""B4089218""]"
128,"[""B4087474"", ""B4082134"", ""B4117123"", ""B4085680"", ""B4118200"", ""B4097532"", ""B4099409"", ""B4100165"", ""B4085080"", ""B4108628""]"
129,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
130,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
131,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
132,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
133,"[""Q831691"", ""Q1433006"", ""Q958148"", ""B4115435"", ""Q163446"", ""Q5871275"", ""B4087599"", ""B4109067"", ""B4081599"", ""B4094025""]"
134,"[""Q10273457"", ""B4083735"", ""Q472616"", ""B4111715"", ""B4114068"", ""B4082908"", ""Q101659"", ""B4091891"", ""B4098441"", ""B4083368""]"
135,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
136,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
137,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
138,"[""Q24055"", ""B4113070"", ""B4109136"", ""B4094247"", ""B4082445"", ""B4087959"", ""B4101531"", ""B4106748"", ""Q1137661"", ""B4105647""]"
139,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
140,"[""Q10273457"", ""B4083735"", ""Q472616"", ""B4111715"", ""B4114068"", ""B4082908"", ""Q101659"", ""B4091891"", ""B4098441"", ""B4083368""]"
141,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
142,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
143,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
144,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
145,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
146,"[""B4119893"", ""Q334401"", ""B4088318"", ""Q2933051"", ""B4105470"", ""Q485954"", ""B4089468"", ""B4087945"", ""B4100929"", ""B4082254""]"
147,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
148,"[""A21568"", ""B4096779"", ""B4085878"", ""B4080579"", ""B4113449"", ""B4108767"", ""B4118431"", ""B4098254"", ""Q1622390"", ""B4105627""]"
149,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
150,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
151,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
152,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
153,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
154,"[""B4098573"", ""Q168366"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692""]"
155,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
156,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
157,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
158,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
159,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
160,"[""B4083170"", ""B4100558"", ""B4109256"", ""B4115396"", ""B4116535"", ""B4094027"", ""B4119426"", ""B4106643"", ""B4088043"", ""B4096532""]"
161,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
162,"[""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259"", ""B4097819"", ""B4092518"", ""Q660692"", ""B4103855"", ""B4092974""]"
163,"[""B4117979"", ""B4104258"", ""B4087769"", ""B4112194"", ""B4113166"", ""Q707806"", ""B4114004"", ""B4097642"", ""B4104175"", ""B4080762""]"
164,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
